Account Factors::Profit Center,Promo ID,Pricing::Segment,Pricing::Engine,Promotion::SKU,Promotion::Start Date Promo,Promotion::End Date Promo,Pricing::Street,Promotion::Promo_Value,Promotion::Promo Type,Promotion::Promo_Net Price Point,Exp_Revenue Est,Exp_Billing Profit,Exp_Billing Profit Supply,Exp_Promo,Exp_Sales,Exp_Net Billing Profit,Account,Sell Through Estimate Adj,Sell Through Estimate POS,Sell Through Estimate Inv,Final Quantity,Sell Through Estimate,SOP_Period,SOP_Half,SOP_Quarter,Usage ID,Account Factors::SAP Account,Promotion::LevelType
1010,39132,zzz,123,TP1,5/1/2018,5/31/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,202,H1,Q1,116645,2,2
1010,42189,zzz,123,TP1,6/1/2018,6/30/2018,79.99,30,1,49.99,831.8037,245.1097121,963.9415062,0,380.025243,829.0259753,3,13,,0,0,13,203,H1,Q1,121318,3,3
1010,42187,zzz,123,TP1,6/1/2018,6/30/2018,79.99,37,1,42.99,3263.2299,961.5842553,3781.616678,0,1490.868261,3252.332672,3,51,,0,0,51,203,H1,Q1,121319,3,3
1010,42189,zzz,123,TP1,6/1/2018,6/30/2018,79.99,30,1,49.99,831.8037,245.1097121,963.9415062,0,532.0353402,677.0158781,4,13,,0,0,13,203,H1,Q1,121320,4,4
1010,42187,zzz,123,TP1,6/1/2018,6/30/2018,79.99,37,1,42.99,1983.5319,584.4923905,2298.629745,0,1268.699657,1614.422479,4,31,,0,0,31,203,H1,Q1,121321,4,4
1010,42189,zzz,123,TP1,6/1/2018,6/30/2018,79.99,30,1,49.99,11965.1763,3525.808936,13865.92782,9420,5466.516957,2505.219799,2,187,348,314,314,187,203,H1,Q1,121322,2,2
1010,42187,zzz,123,TP1,6/1/2018,6/30/2018,79.99,37,1,42.99,6142.5504,1810.040951,7118.337276,0,2806.340256,6122.037972,2,96,,0,0,96,203,H1,Q1,121323,2,2
1010,42188,zzz,123,TP1,6/1/2018,6/30/2018,79.99,35,1,44.99,5886.6108,1734.622578,6821.73989,0,3765.173177,4791.189291,1,92,,0,0,92,203,H1,Q1,121324,1,1
1010,42186,zzz,123,TP1,6/1/2018,6/30/2018,79.99,44,1,35.99,23482.4583,6919.63572,27212.81021,0,15019.76691,19112.67902,1,367,,0,0,367,203,H1,Q1,121325,1,1
1010,44271,zzz,123,TP1,7/1/2018,7/31/2018,79.99,30,1,49.99,1727.5923,509.0740175,2002.032359,810,789.283197,911.8231795,3,27,,,27,27,204,H1,Q2,122851,3,3
1010,44269,zzz,123,TP1,7/1/2018,7/31/2018,79.99,37,1,42.99,6974.3541,2055.150663,8082.278782,0,3186.365499,6951.063947,3,109,,0,0,109,204,H1,Q2,122852,3,3
1010,44271,zzz,123,TP1,7/1/2018,7/31/2018,79.99,30,1,49.99,831.8037,245.1097121,963.9415062,900,532.0353402,-222.9841219,4,13,,30,30,26,204,H1,Q2,122853,4,4
